,,,Percentage of isolates,,,,Percentage of all isolates with MIC (Î¼g/mL)**,,,,,,,,,,,,,,,
Rank*,CLSI  Antimicrobial Class,Antimicrobial Agent,,,,,,,,,,,,,,,,,,,,
,,,%I,%R,95%,CI,0.015,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512
,Aminoglycosides,Gentamicin,,,,,,,,,,,,,,,,,,,,
,,Streptomycin,,,,,,,,,,,,,,,,,,,,
,,Amoxicillin-clavulanic acid,,,,,,,,,,,,,,,,,,,,
,inhibitor combinations,,,,,,,,,,,,,,,,,,,,,
,Cephems,Ceftiofur,,,,,,,,,,,,,,,,,,,,
I,,Ceftriaxone,,,,,,,,,,,,,,,,,,,,
,Macrolides,Azithromycin,,,,,,,,,,,,,,,,,,,,
,Penicillins,Ampicillin,,,,,,,,,,,,,,,,,,,,
,Quinolones,Ciprofloxacin,,,,,,,,,,,,,,,,,,,,
,,Nalidixic acid,,,,,,,,,,,,,,,,,,,,
,Cephems,Cefoxitin,,,,,,,,,,,,,,,,,,,,
,Folate pathway inhibitors,Sulfisoxazole,,,,,,,,,,,,,,,,,,,,
II,,Trimethoprim-sulfamethoxazole,,,,,,,,,,,,,,,,,,,,
,Phenicols,Chloramphenicol,,,,,,,,,,,,,,,,,,,,
,Tetracyclines,Tetracycline,,,,,,,,,,,,,,,,,,,,
